review_id,movie_title,review_text,rating,review_date,reviewer,style,genre,review_length,word_count,sentiment_score,would_recommend,category,author,publish_date,views,review_month
24,Broken Memories,Watching 'Broken Memories' felt like staring into the soul of the universe as it begged for redemption.,6,2024-04-11,Wendy Carson,Overly dramatic,Sci-Fi,103,17,0.6,False,Sports,Alex Green,2023-05-19,2810,2024-04
25,Neon Nights,'Neon Nights' delivers a polished and thoughtfully constructed narrative. Its thematic depth is supported by confident direction and a compelling emotional core.,6,2025-01-11,Rachel Gibson,Professional critic,Thriller,161,22,0.6,False,Business,Jane Smith,2023-04-23,3202,2025-01
26,Galactic Run,"'Galactic Run' is the cinematic equivalent of eating cold fries—still enjoyable, but you know it could've been better.",5,2021-05-14,Marina Harper,Comedy/snarky,Romance,118,18,0.5,False,Politics,Maria Lopez,2023-08-07,1896,2021-05
27,Neon Nights,"'Neon Nights' transcends the pedestrian constraints of mainstream cinema, offering instead a meditation on the fragility of human consciousness.",4,2024-04-15,Kevin Reeves,Pretentious film critic,Romance,144,19,0.4,False,Tech,Maria Lopez,2023-06-05,4856,2024-04
28,Silent Echoes,"I just watched 'Silent Echoes' and honestly, it was pretty good! Not perfect, but definitely worth a watch.",8,2023-08-04,Kevin Santos,Casual viewer,Comedy,107,18,0.8,True,Business,Maria Lopez,2023-07-04,2734,2023-08
29,Neon Nights,"I just watched 'Neon Nights' and honestly, it was pretty good! Not perfect, but definitely worth a watch.",4,2021-01-15,Felix Delaney,Casual viewer,Drama,105,18,0.4,False,Business,Jane Smith,2023-05-01,223,2021-01
30,Shadows of Time,"Okay sooo 'Shadows of Time' was kinda awesome?? Like, not even kidding, I didn’t check my phone once.",8,2022-07-01,Marina Rivers,Teen reviewer,Romance,101,18,0.8,True,Business,Alex Green,2023-11-18,2889,2022-07
31,Emerald Sky,"'Emerald Sky' transcends the pedestrian constraints of mainstream cinema, offering instead a meditation on the fragility of human consciousness.",9,2023-08-06,Chloe Stone,Pretentious film critic,Action,144,19,0.9,True,Politics,Jane Smith,2023-07-17,1729,2023-08
32,Emerald Sky,'Emerald Sky' delivers a polished and thoughtfully constructed narrative. Its thematic depth is supported by confident direction and a compelling emotional core.,5,2022-01-21,Tara Santos,Professional critic,Romance,161,22,0.5,False,Tech,Alex Green,2023-12-11,4877,2022-01
33,Emerald Sky,Watching 'Emerald Sky' felt like staring into the soul of the universe as it begged for redemption.,2,2024-03-18,Sofia Castillo,Overly dramatic,Action,99,17,0.2,False,Tech,Maria Lopez,2023-10-18,2336,2024-03
34,Neon Nights,"'Neon Nights' is the cinematic equivalent of eating cold fries—still enjoyable, but you know it could've been better.",1,2023-10-18,Wendy Turner,Comedy/snarky,Fantasy,117,18,0.1,False,Tech,Alex Green,2023-01-04,1333,2023-10
35,Emerald Sky,"Okay sooo 'Emerald Sky' was kinda awesome?? Like, not even kidding, I didn’t check my phone once.",3,2023-03-16,Irene Lowell,Teen reviewer,Comedy,97,17,0.3,False,Politics,Jane Smith,2023-07-08,4887,2023-03
36,Galactic Run,"'Galactic Run' transcends the pedestrian constraints of mainstream cinema, offering instead a meditation on the fragility of human consciousness.",10,2022-06-22,Chloe Rivers,Pretentious film critic,Action,145,19,1.0,True,Sports,Alex Green,2023-08-27,1420,2022-06
37,Lost Frequencies,Watching 'Lost Frequencies' felt like staring into the soul of the universe as it begged for redemption.,6,2022-10-10,Irene Hughes,Overly dramatic,Sci-Fi,104,17,0.6,False,World,Maria Lopez,2023-06-15,2638,2022-10
38,Silent Echoes,"'Silent Echoes' transcends the pedestrian constraints of mainstream cinema, offering instead a meditation on the fragility of human consciousness.",9,2023-09-27,Irene Sawyer,Pretentious film critic,Sci-Fi,146,19,0.9,True,Business,Maria Lopez,2023-06-21,1602,2023-09
39,Crimson Pulse,"'Crimson Pulse' transcends the pedestrian constraints of mainstream cinema, offering instead a meditation on the fragility of human consciousness.",9,2024-01-17,Jordan Hughes,Pretentious film critic,Fantasy,146,19,0.9,True,Business,John Doe,2023-07-31,2689,2024-01
40,Neon Nights,Watching 'Neon Nights' felt like staring into the soul of the universe as it begged for redemption.,9,2022-03-04,Victor Brooks,Overly dramatic,Sci-Fi,99,17,0.9,True,Sports,John Doe,2023-12-11,3849,2022-03
41,Galactic Run,"Okay sooo 'Galactic Run' was kinda awesome?? Like, not even kidding, I didn’t check my phone once.",10,2021-08-09,Tara Rivers,Teen reviewer,Fantasy,98,17,1.0,True,World,Alex Green,2023-03-12,4578,2021-08
42,Lost Frequencies,'Lost Frequencies' delivers a polished and thoughtfully constructed narrative. Its thematic depth is supported by confident direction and a compelling emotional core.,1,2024-03-08,Sofia Hughes,Professional critic,Thriller,166,22,0.1,False,Sports,Jane Smith,2023-05-29,2364,2024-03
43,Neon Nights,"'Neon Nights' is the cinematic equivalent of eating cold fries—still enjoyable, but you know it could've been better.",6,2022-01-24,Kevin Santos,Comedy/snarky,Sci-Fi,117,18,0.6,False,Politics,Maria Lopez,2023-10-12,608,2022-01
44,Emerald Sky,"'Emerald Sky' transcends the pedestrian constraints of mainstream cinema, offering instead a meditation on the fragility of human consciousness.",8,2024-11-29,Victor Hughes,Pretentious film critic,Thriller,144,19,0.8,True,Politics,Jane Smith,2023-04-26,3237,2024-11
45,Lost Frequencies,Watching 'Lost Frequencies' felt like staring into the soul of the universe as it begged for redemption.,8,2021-03-16,Sofia Frost,Overly dramatic,Thriller,104,17,0.8,True,World,Alex Green,2023-11-19,3372,2021-03
46,Lost Frequencies,"'Lost Frequencies' is the cinematic equivalent of eating cold fries—still enjoyable, but you know it could've been better.",6,2023-10-24,Logan Brooks,Comedy/snarky,Thriller,122,18,0.6,False,Politics,Alex Green,2023-04-03,1508,2023-10
47,Shadows of Time,'Shadows of Time' delivers a polished and thoughtfully constructed narrative. Its thematic depth is supported by confident direction and a compelling emotional core.,8,2022-04-17,Sofia Reeves,Professional critic,Thriller,165,23,0.8,True,World,Jane Smith,2023-04-13,1211,2022-04
48,Cyber Alley,'Cyber Alley' delivers a polished and thoughtfully constructed narrative. Its thematic depth is supported by confident direction and a compelling emotional core.,4,2024-07-07,Alex Reeves,Professional critic,Comedy,161,22,0.4,False,Tech,John Doe,2023-12-24,3977,2024-07
49,Emerald Sky,"I just watched 'Emerald Sky' and honestly, it was pretty good! Not perfect, but definitely worth a watch.",7,2021-12-05,Sam Sawyer,Casual viewer,Action,105,18,0.7,True,World,Alex Green,2023-07-17,2595,2021-12
50,Emerald Sky,"'Emerald Sky' transcends the pedestrian constraints of mainstream cinema, offering instead a meditation on the fragility of human consciousness.",10,2021-06-20,Nina Lowell,Pretentious film critic,Drama,144,19,1.0,True,Tech,Maria Lopez,2023-04-20,2558,2021-06
51,Neon Nights,"I just watched 'Neon Nights' and honestly, it was pretty good! Not perfect, but definitely worth a watch.",7,2023-07-02,Liam Rivers,Casual viewer,Drama,105,18,0.7,True,Sports,John Doe,2023-11-26,4925,2023-07
52,The Last Horizon,"I just watched 'The Last Horizon' and honestly, it was pretty good! Not perfect, but definitely worth a watch.",9,2024-05-23,Logan Holloway,Casual viewer,Fantasy,110,19,0.9,True,Sports,Alex Green,2023-04-11,1627,2024-05
53,Silent Echoes,Watching 'Silent Echoes' felt like staring into the soul of the universe as it begged for redemption.,1,2021-03-03,Wendy Lowell,Overly dramatic,Sci-Fi,101,17,0.1,False,Politics,John Doe,2023-07-02,2611,2021-03
54,Galactic Run,'Galactic Run' delivers a polished and thoughtfully constructed narrative. Its thematic depth is supported by confident direction and a compelling emotional core.,7,2023-11-17,Sofia Bennett,Professional critic,Drama,162,22,0.7,True,Tech,Maria Lopez,2023-11-30,1225,2023-11
55,Silent Echoes,Watching 'Silent Echoes' felt like staring into the soul of the universe as it begged for redemption.,4,2024-01-14,Maya Hughes,Overly dramatic,Action,101,17,0.4,False,Tech,Alex Green,2023-06-09,1421,2024-01
56,Silent Echoes,"'Silent Echoes' transcends the pedestrian constraints of mainstream cinema, offering instead a meditation on the fragility of human consciousness.",10,2024-10-31,Paula Delaney,Pretentious film critic,Thriller,146,19,1.0,True,Tech,Jane Smith,2023-03-23,2037,2024-10
57,Silent Echoes,"'Silent Echoes' transcends the pedestrian constraints of mainstream cinema, offering instead a meditation on the fragility of human consciousness.",3,2024-06-11,Victor Sawyer,Pretentious film critic,Drama,146,19,0.3,False,Tech,Alex Green,2023-02-05,4052,2024-06
58,Cyber Alley,"'Cyber Alley' transcends the pedestrian constraints of mainstream cinema, offering instead a meditation on the fragility of human consciousness.",5,2024-08-09,Oscar Kensington,Pretentious film critic,Drama,144,19,0.5,False,Business,Jane Smith,2023-08-26,3215,2024-08
59,Crimson Pulse,Watching 'Crimson Pulse' felt like staring into the soul of the universe as it begged for redemption.,9,2022-01-31,Liam Bennett,Overly dramatic,Fantasy,101,17,0.9,True,Business,John Doe,2023-09-01,1234,2022-01
60,Lost Frequencies,"'Lost Frequencies' is the cinematic equivalent of eating cold fries—still enjoyable, but you know it could've been better.",9,2022-09-02,Victor Frost,Comedy/snarky,Fantasy,122,18,0.9,True,Sports,Jane Smith,2023-09-08,3625,2022-09
61,Emerald Sky,Watching 'Emerald Sky' felt like staring into the soul of the universe as it begged for redemption.,6,2022-03-26,Rachel Bennett,Overly dramatic,Comedy,99,17,0.6,False,Business,Jane Smith,2023-09-12,4570,2022-03
62,The Last Horizon,"'The Last Horizon' is the cinematic equivalent of eating cold fries—still enjoyable, but you know it could've been better.",2,2024-07-29,Felix Holloway,Comedy/snarky,Sci-Fi,122,19,0.2,False,Politics,Alex Green,2023-10-09,3063,2024-07
63,Silent Echoes,"'Silent Echoes' transcends the pedestrian constraints of mainstream cinema, offering instead a meditation on the fragility of human consciousness.",10,2024-02-03,Nina Frost,Pretentious film critic,Comedy,146,19,1.0,True,Business,Alex Green,2023-01-22,3537,2024-02
64,Cyber Alley,"Okay sooo 'Cyber Alley' was kinda awesome?? Like, not even kidding, I didn’t check my phone once.",6,2022-02-05,Felix Grey,Teen reviewer,Romance,97,17,0.6,False,World,Maria Lopez,2023-08-18,2267,2022-02
65,Neon Nights,"'Neon Nights' is the cinematic equivalent of eating cold fries—still enjoyable, but you know it could've been better.",6,2023-11-01,Paula Turner,Comedy/snarky,Action,117,18,0.6,False,Tech,John Doe,2023-06-03,4478,2023-11
66,Cyber Alley,"I just watched 'Cyber Alley' and honestly, it was pretty good! Not perfect, but definitely worth a watch.",9,2023-10-31,Oscar Hughes,Casual viewer,Drama,105,18,0.9,True,Sports,Jane Smith,2023-04-30,660,2023-10
67,Lost Frequencies,Watching 'Lost Frequencies' felt like staring into the soul of the universe as it begged for redemption.,9,2023-06-14,Tara Kensington,Overly dramatic,Action,104,17,0.9,True,World,John Doe,2023-06-15,3371,2023-06
68,Galactic Run,"'Galactic Run' is the cinematic equivalent of eating cold fries—still enjoyable, but you know it could've been better.",7,2023-08-14,Victor Sawyer,Comedy/snarky,Fantasy,118,18,0.7,True,Business,Maria Lopez,2023-07-18,4435,2023-08
69,Galactic Run,"Okay sooo 'Galactic Run' was kinda awesome?? Like, not even kidding, I didn’t check my phone once.",5,2024-02-11,Sam Harper,Teen reviewer,Fantasy,98,17,0.5,False,World,John Doe,2023-12-13,2842,2024-02
70,Cyber Alley,"I just watched 'Cyber Alley' and honestly, it was pretty good! Not perfect, but definitely worth a watch.",9,2021-10-12,Logan Santos,Casual viewer,Romance,105,18,0.9,True,World,John Doe,2023-03-16,4804,2021-10
71,Lost Frequencies,"'Lost Frequencies' transcends the pedestrian constraints of mainstream cinema, offering instead a meditation on the fragility of human consciousness.",2,2022-10-13,Sam Hughes,Pretentious film critic,Romance,149,19,0.2,False,World,Alex Green,2023-03-20,4552,2022-10
72,Cyber Alley,"'Cyber Alley' transcends the pedestrian constraints of mainstream cinema, offering instead a meditation on the fragility of human consciousness.",4,2023-01-06,Marina Frost,Pretentious film critic,Thriller,144,19,0.4,False,Business,John Doe,2023-11-15,1974,2023-01
73,Neon Nights,'Neon Nights' delivers a polished and thoughtfully constructed narrative. Its thematic depth is supported by confident direction and a compelling emotional core.,3,2022-11-06,Felix Kensington,Professional critic,Drama,161,22,0.3,False,World,Maria Lopez,2023-03-14,1529,2022-11
74,Neon Nights,'Neon Nights' delivers a polished and thoughtfully constructed narrative. Its thematic depth is supported by confident direction and a compelling emotional core.,1,2022-06-18,Tara Carson,Professional critic,Fantasy,161,22,0.1,False,World,Jane Smith,2023-07-19,2662,2022-06
75,Cyber Alley,Watching 'Cyber Alley' felt like staring into the soul of the universe as it begged for redemption.,10,2023-11-22,Nina Carson,Overly dramatic,Thriller,99,17,1.0,True,World,John Doe,2023-10-29,3436,2023-11
76,Cyber Alley,"Okay sooo 'Cyber Alley' was kinda awesome?? Like, not even kidding, I didn’t check my phone once.",7,2023-04-04,Maya Gibson,Teen reviewer,Comedy,97,17,0.7,True,Politics,Maria Lopez,2023-05-14,2409,2023-04
77,Neon Nights,"'Neon Nights' transcends the pedestrian constraints of mainstream cinema, offering instead a meditation on the fragility of human consciousness.",2,2023-01-14,Felix Bennett,Pretentious film critic,Thriller,144,19,0.2,False,World,Alex Green,2023-02-17,3466,2023-01
78,Broken Memories,Watching 'Broken Memories' felt like staring into the soul of the universe as it begged for redemption.,7,2022-09-11,Paula Sawyer,Overly dramatic,Romance,103,17,0.7,True,Business,Jane Smith,2023-07-07,712,2022-09
79,Broken Memories,"Okay sooo 'Broken Memories' was kinda awesome?? Like, not even kidding, I didn’t check my phone once.",9,2023-05-31,Nina Grey,Teen reviewer,Drama,101,17,0.9,True,Sports,Maria Lopez,2023-06-20,4645,2023-05
80,Emerald Sky,"I just watched 'Emerald Sky' and honestly, it was pretty good! Not perfect, but definitely worth a watch.",8,2024-04-05,Logan Turner,Casual viewer,Drama,105,18,0.8,True,Politics,John Doe,2023-05-19,1753,2024-04
81,Galactic Run,"'Galactic Run' transcends the pedestrian constraints of mainstream cinema, offering instead a meditation on the fragility of human consciousness.",1,2023-12-07,Alex Delaney,Pretentious film critic,Romance,145,19,0.1,False,Tech,Jane Smith,2023-08-31,671,2023-12
82,Galactic Run,'Galactic Run' delivers a polished and thoughtfully constructed narrative. Its thematic depth is supported by confident direction and a compelling emotional core.,9,2024-11-22,Irene Delaney,Professional critic,Comedy,162,22,0.9,True,Tech,Alex Green,2023-11-10,3848,2024-11
83,Neon Nights,Watching 'Neon Nights' felt like staring into the soul of the universe as it begged for redemption.,2,2024-01-10,Wendy Reeves,Overly dramatic,Romance,99,17,0.2,False,Business,John Doe,2023-12-12,1001,2024-01
84,Cyber Alley,"'Cyber Alley' is the cinematic equivalent of eating cold fries—still enjoyable, but you know it could've been better.",10,2024-04-21,Ethan Lowell,Comedy/snarky,Action,117,18,1.0,True,Politics,John Doe,2023-05-06,2409,2024-04
85,Galactic Run,"I just watched 'Galactic Run' and honestly, it was pretty good! Not perfect, but definitely worth a watch.",8,2021-07-16,Nina Reeves,Casual viewer,Fantasy,106,18,0.8,True,Politics,John Doe,2023-07-26,3847,2021-07
86,Neon Nights,'Neon Nights' delivers a polished and thoughtfully constructed narrative. Its thematic depth is supported by confident direction and a compelling emotional core.,4,2024-11-04,Paula Bennett,Professional critic,Drama,161,22,0.4,False,Tech,Alex Green,2023-12-05,1389,2024-11
87,Galactic Run,'Galactic Run' delivers a polished and thoughtfully constructed narrative. Its thematic depth is supported by confident direction and a compelling emotional core.,6,2022-02-07,Maya Sawyer,Professional critic,Sci-Fi,162,22,0.6,False,Sports,Jane Smith,2023-07-17,4187,2022-02
88,Cyber Alley,"'Cyber Alley' transcends the pedestrian constraints of mainstream cinema, offering instead a meditation on the fragility of human consciousness.",8,2023-10-08,Liam Gibson,Pretentious film critic,Thriller,144,19,0.8,True,World,Maria Lopez,2023-07-06,3196,2023-10
89,Galactic Run,"Okay sooo 'Galactic Run' was kinda awesome?? Like, not even kidding, I didn’t check my phone once.",4,2024-08-06,Rachel Holloway,Teen reviewer,Sci-Fi,98,17,0.4,False,Sports,John Doe,2023-01-18,1730,2024-08
90,Silent Echoes,"Okay sooo 'Silent Echoes' was kinda awesome?? Like, not even kidding, I didn’t check my phone once.",7,2023-03-11,Jordan Holloway,Teen reviewer,Drama,99,17,0.7,True,Politics,John Doe,2023-07-17,3558,2023-03
91,Neon Nights,"'Neon Nights' is the cinematic equivalent of eating cold fries—still enjoyable, but you know it could've been better.",1,2022-07-14,Wendy Albright,Comedy/snarky,Sci-Fi,117,18,0.1,False,Business,John Doe,2023-12-17,4071,2022-07
92,Emerald Sky,"Okay sooo 'Emerald Sky' was kinda awesome?? Like, not even kidding, I didn’t check my phone once.",5,2021-08-16,Jordan Lowell,Teen reviewer,Drama,97,17,0.5,False,Sports,John Doe,2023-06-02,3761,2021-08
93,Silent Echoes,"'Silent Echoes' transcends the pedestrian constraints of mainstream cinema, offering instead a meditation on the fragility of human consciousness.",2,2022-03-31,Ethan Castillo,Pretentious film critic,Thriller,146,19,0.2,False,Sports,Jane Smith,2023-05-12,1391,2022-03
94,Silent Echoes,"'Silent Echoes' is the cinematic equivalent of eating cold fries—still enjoyable, but you know it could've been better.",2,2024-07-06,Oscar Gibson,Comedy/snarky,Thriller,119,18,0.2,False,Politics,Maria Lopez,2023-11-22,497,2024-07
95,Crimson Pulse,Watching 'Crimson Pulse' felt like staring into the soul of the universe as it begged for redemption.,4,2023-03-15,Victor Albright,Overly dramatic,Romance,101,17,0.4,False,Tech,Alex Green,2023-06-14,2632,2023-03
96,Lost Frequencies,"Okay sooo 'Lost Frequencies' was kinda awesome?? Like, not even kidding, I didn’t check my phone once.",1,2023-09-23,Nina Sawyer,Teen reviewer,Comedy,102,17,0.1,False,Politics,Alex Green,2023-02-28,2229,2023-09
97,Neon Nights,'Neon Nights' delivers a polished and thoughtfully constructed narrative. Its thematic depth is supported by confident direction and a compelling emotional core.,7,2021-07-06,Jordan Stone,Professional critic,Fantasy,161,22,0.7,True,Sports,Jane Smith,2023-06-27,1278,2021-07
98,The Last Horizon,'The Last Horizon' delivers a polished and thoughtfully constructed narrative. Its thematic depth is supported by confident direction and a compelling emotional core.,5,2023-06-23,Alex Bennett,Professional critic,Comedy,166,23,0.5,False,Sports,John Doe,2023-06-02,4138,2023-06
99,The Last Horizon,"I just watched 'The Last Horizon' and honestly, it was pretty good! Not perfect, but definitely worth a watch.",10,2022-07-25,Oscar Stone,Casual viewer,Comedy,110,19,1.0,True,Business,Jane Smith,2023-06-11,1811,2022-07
100,Neon Nights,"'Neon Nights' transcends the pedestrian constraints of mainstream cinema, offering instead a meditation on the fragility of human consciousness.",10,2022-10-21,Chloe Sawyer,Pretentious film critic,Comedy,144,19,1.0,True,Sports,Jane Smith,2023-12-20,4088,2022-10
101,Broken Memories,"'Broken Memories' is the cinematic equivalent of eating cold fries—still enjoyable, but you know it could've been better.",9,2024-12-07,Wendy Santos,Comedy/snarky,Sci-Fi,121,18,0.9,True,Business,Jane Smith,2023-08-30,2589,2024-12
102,Crimson Pulse,Watching 'Crimson Pulse' felt like staring into the soul of the universe as it begged for redemption.,2,2024-10-05,Sam Kensington,Overly dramatic,Thriller,101,17,0.2,False,Sports,Maria Lopez,2023-05-16,1269,2024-10
103,Emerald Sky,"I just watched 'Emerald Sky' and honestly, it was pretty good! Not perfect, but definitely worth a watch.",1,2023-04-22,Felix Sawyer,Casual viewer,Drama,105,18,0.1,False,Tech,Maria Lopez,2023-08-24,4809,2023-04
104,Shadows of Time,Watching 'Shadows of Time' felt like staring into the soul of the universe as it begged for redemption.,1,2022-10-01,Victor Carson,Overly dramatic,Comedy,103,18,0.1,False,Sports,Jane Smith,2023-02-16,4157,2022-10
105,Neon Nights,"'Neon Nights' transcends the pedestrian constraints of mainstream cinema, offering instead a meditation on the fragility of human consciousness.",3,2023-10-30,Alex Reeves,Pretentious film critic,Fantasy,144,19,0.3,False,Business,Jane Smith,2023-05-08,3416,2023-10
106,Lost Frequencies,"'Lost Frequencies' is the cinematic equivalent of eating cold fries—still enjoyable, but you know it could've been better.",5,2025-01-10,Sam Harper,Comedy/snarky,Sci-Fi,122,18,0.5,False,Business,Maria Lopez,2023-12-04,283,2025-01
107,Galactic Run,"I just watched 'Galactic Run' and honestly, it was pretty good! Not perfect, but definitely worth a watch.",2,2022-10-04,Alex Brooks,Casual viewer,Romance,106,18,0.2,False,Business,Jane Smith,2023-06-07,3368,2022-10
108,Cyber Alley,Watching 'Cyber Alley' felt like staring into the soul of the universe as it begged for redemption.,9,2022-11-19,Oscar Carson,Overly dramatic,Comedy,99,17,0.9,True,Sports,Maria Lopez,2023-01-13,4307,2022-11
109,Cyber Alley,Watching 'Cyber Alley' felt like staring into the soul of the universe as it begged for redemption.,9,2023-01-24,Kevin Holloway,Overly dramatic,Action,99,17,0.9,True,Business,Maria Lopez,2023-04-29,2927,2023-01
110,Neon Nights,"Okay sooo 'Neon Nights' was kinda awesome?? Like, not even kidding, I didn’t check my phone once.",2,2022-12-11,Nina Albright,Teen reviewer,Comedy,97,17,0.2,False,World,Alex Green,2023-10-30,4166,2022-12
111,Broken Memories,"I just watched 'Broken Memories' and honestly, it was pretty good! Not perfect, but definitely worth a watch.",1,2023-03-26,Felix Kensington,Casual viewer,Drama,109,18,0.1,False,Tech,Alex Green,2023-10-16,2386,2023-03
112,The Last Horizon,'The Last Horizon' delivers a polished and thoughtfully constructed narrative. Its thematic depth is supported by confident direction and a compelling emotional core.,1,2023-03-19,Felix Brooks,Professional critic,Action,166,23,0.1,False,Sports,Maria Lopez,2023-10-18,2449,2023-03
113,Lost Frequencies,"Okay sooo 'Lost Frequencies' was kinda awesome?? Like, not even kidding, I didn’t check my phone once.",3,2025-02-08,Wendy Turner,Teen reviewer,Fantasy,102,17,0.3,False,Business,Jane Smith,2023-04-26,2922,2025-02
