review_id,movie_title,review_text,rating,review_date,reviewer,style,genre,review_length,word_count,sentiment_score,would_recommend
17,crimsonpulse,"okaysooo'crimsonpulse'waskindaawesome??like,notevenkidding,ididn’tcheckmyphoneonce.",10.0,2023-06-07,sofiabennett,teenreviewer,fantasy,99,17,1.0,True
18,silentechoes,'silentechoes'deliversapolishedandthoughtfullyconstructednarrative.itsthematicdepthissupportedbyconfidentdirectionandacompellingemotionalcore.,3.0,2021-09-30,logankensington,professionalcritic,drama,163,22,0.3,False
19,crimsonpulse,"'crimsonpulse'transcendsthepedestrianconstraintsofmainstreamcinema,offeringinsteadameditationonthefragilityofhumanconsciousness.",5.0,2021-06-29,ireneholloway,pretentiousfilmcritic,fantasy,146,19,0.5,False
20,neonnights,"okaysooo'neonnights'waskindaawesome??like,notevenkidding,ididn’tcheckmyphoneonce.",1.0,2022-11-13,logangrey,teenreviewer,sci-fi,97,17,0.1,False
21,neonnights,"ijustwatched'neonnights'andhonestly,itwasprettygood!notperfect,butdefinitelyworthawatch.",7.0,2025-01-21,alexgibson,casualviewer,romance,105,18,0.7,True
22,cyberalley,"'cyberalley'isthecinematicequivalentofeatingcoldfries—stillenjoyable,butyouknowitcould'vebeenbetter.",2.0,2024-12-06,wendyholloway,comedy/snarky,fantasy,117,18,0.2,False
23,brokenmemories,"'brokenmemories'transcendsthepedestrianconstraintsofmainstreamcinema,offeringinsteadameditationonthefragilityofhumanconsciousness.",7.0,2021-06-27,samsantos,pretentiousfilmcritic,drama,148,19,0.7,True
24,brokenmemories,watching'brokenmemories'feltlikestaringintothesouloftheuniverseasitbeggedforredemption.,6.0,2024-04-11,wendycarson,overlydramatic,sci-fi,103,17,0.6,False
25,neonnights,'neonnights'deliversapolishedandthoughtfullyconstructednarrative.itsthematicdepthissupportedbyconfidentdirectionandacompellingemotionalcore.,6.0,2025-01-11,rachelgibson,professionalcritic,thriller,161,22,0.6,False
26,galacticrun,"'galacticrun'isthecinematicequivalentofeatingcoldfries—stillenjoyable,butyouknowitcould'vebeenbetter.",5.0,2021-05-14,marinaharper,comedy/snarky,romance,118,18,0.5,False
27,neonnights,"'neonnights'transcendsthepedestrianconstraintsofmainstreamcinema,offeringinsteadameditationonthefragilityofhumanconsciousness.",4.0,2024-04-15,kevinreeves,pretentiousfilmcritic,romance,144,19,0.4,False
28,silentechoes,"ijustwatched'silentechoes'andhonestly,itwasprettygood!notperfect,butdefinitelyworthawatch.",8.0,2023-08-04,kevinsantos,casualviewer,comedy,107,18,0.8,True
29,neonnights,"ijustwatched'neonnights'andhonestly,itwasprettygood!notperfect,butdefinitelyworthawatch.",4.0,2021-01-15,felixdelaney,casualviewer,drama,105,18,0.4,False
30,shadowsoftime,"okaysooo'shadowsoftime'waskindaawesome??like,notevenkidding,ididn’tcheckmyphoneonce.",8.0,2022-07-01,marinarivers,teenreviewer,romance,101,18,0.8,True
31,emeraldsky,"'emeraldsky'transcendsthepedestrianconstraintsofmainstreamcinema,offeringinsteadameditationonthefragilityofhumanconsciousness.",9.0,2023-08-06,chloestone,pretentiousfilmcritic,action,144,19,0.9,True
32,emeraldsky,'emeraldsky'deliversapolishedandthoughtfullyconstructednarrative.itsthematicdepthissupportedbyconfidentdirectionandacompellingemotionalcore.,5.0,2022-01-21,tarasantos,professionalcritic,romance,161,22,0.5,False
33,emeraldsky,watching'emeraldsky'feltlikestaringintothesouloftheuniverseasitbeggedforredemption.,2.0,2024-03-18,sofiacastillo,overlydramatic,action,99,17,0.2,False
34,neonnights,"'neonnights'isthecinematicequivalentofeatingcoldfries—stillenjoyable,butyouknowitcould'vebeenbetter.",1.0,2023-10-18,wendyturner,comedy/snarky,fantasy,117,18,0.1,False
35,emeraldsky,"okaysooo'emeraldsky'waskindaawesome??like,notevenkidding,ididn’tcheckmyphoneonce.",3.0,2023-03-16,irenelowell,teenreviewer,comedy,97,17,0.3,False
36,galacticrun,"'galacticrun'transcendsthepedestrianconstraintsofmainstreamcinema,offeringinsteadameditationonthefragilityofhumanconsciousness.",10.0,2022-06-22,chloerivers,pretentiousfilmcritic,action,145,19,1.0,True
37,lostfrequencies,watching'lostfrequencies'feltlikestaringintothesouloftheuniverseasitbeggedforredemption.,6.0,2022-10-10,irenehughes,overlydramatic,sci-fi,104,17,0.6,False
38,silentechoes,"'silentechoes'transcendsthepedestrianconstraintsofmainstreamcinema,offeringinsteadameditationonthefragilityofhumanconsciousness.",9.0,2023-09-27,irenesawyer,pretentiousfilmcritic,sci-fi,146,19,0.9,True
39,crimsonpulse,"'crimsonpulse'transcendsthepedestrianconstraintsofmainstreamcinema,offeringinsteadameditationonthefragilityofhumanconsciousness.",9.0,2024-01-17,jordanhughes,pretentiousfilmcritic,fantasy,146,19,0.9,True
40,neonnights,watching'neonnights'feltlikestaringintothesouloftheuniverseasitbeggedforredemption.,9.0,2022-03-04,victorbrooks,overlydramatic,sci-fi,99,17,0.9,True
41,galacticrun,"okaysooo'galacticrun'waskindaawesome??like,notevenkidding,ididn’tcheckmyphoneonce.",10.0,2021-08-09,tararivers,teenreviewer,fantasy,98,17,1.0,True
42,lostfrequencies,'lostfrequencies'deliversapolishedandthoughtfullyconstructednarrative.itsthematicdepthissupportedbyconfidentdirectionandacompellingemotionalcore.,1.0,2024-03-08,sofiahughes,professionalcritic,thriller,166,22,0.1,False
43,neonnights,"'neonnights'isthecinematicequivalentofeatingcoldfries—stillenjoyable,butyouknowitcould'vebeenbetter.",6.0,2022-01-24,kevinsantos,comedy/snarky,sci-fi,117,18,0.6,False
44,emeraldsky,"'emeraldsky'transcendsthepedestrianconstraintsofmainstreamcinema,offeringinsteadameditationonthefragilityofhumanconsciousness.",8.0,2024-11-29,victorhughes,pretentiousfilmcritic,thriller,144,19,0.8,True
45,lostfrequencies,watching'lostfrequencies'feltlikestaringintothesouloftheuniverseasitbeggedforredemption.,8.0,2021-03-16,sofiafrost,overlydramatic,thriller,104,17,0.8,True
46,lostfrequencies,"'lostfrequencies'isthecinematicequivalentofeatingcoldfries—stillenjoyable,butyouknowitcould'vebeenbetter.",6.0,2023-10-24,loganbrooks,comedy/snarky,thriller,122,18,0.6,False
47,shadowsoftime,'shadowsoftime'deliversapolishedandthoughtfullyconstructednarrative.itsthematicdepthissupportedbyconfidentdirectionandacompellingemotionalcore.,8.0,2022-04-17,sofiareeves,professionalcritic,thriller,165,23,0.8,True
48,cyberalley,'cyberalley'deliversapolishedandthoughtfullyconstructednarrative.itsthematicdepthissupportedbyconfidentdirectionandacompellingemotionalcore.,4.0,2024-07-07,alexreeves,professionalcritic,comedy,161,22,0.4,False
49,emeraldsky,"ijustwatched'emeraldsky'andhonestly,itwasprettygood!notperfect,butdefinitelyworthawatch.",7.0,2021-12-05,samsawyer,casualviewer,action,105,18,0.7,True
50,emeraldsky,"'emeraldsky'transcendsthepedestrianconstraintsofmainstreamcinema,offeringinsteadameditationonthefragilityofhumanconsciousness.",10.0,2021-06-20,ninalowell,pretentiousfilmcritic,drama,144,19,1.0,True
51,neonnights,"ijustwatched'neonnights'andhonestly,itwasprettygood!notperfect,butdefinitelyworthawatch.",7.0,2023-07-02,liamrivers,casualviewer,drama,105,18,0.7,True
52,thelasthorizon,"ijustwatched'thelasthorizon'andhonestly,itwasprettygood!notperfect,butdefinitelyworthawatch.",9.0,2024-05-23,loganholloway,casualviewer,fantasy,110,19,0.9,True
53,silentechoes,watching'silentechoes'feltlikestaringintothesouloftheuniverseasitbeggedforredemption.,1.0,2021-03-03,wendylowell,overlydramatic,sci-fi,101,17,0.1,False
54,galacticrun,'galacticrun'deliversapolishedandthoughtfullyconstructednarrative.itsthematicdepthissupportedbyconfidentdirectionandacompellingemotionalcore.,7.0,2023-11-17,sofiabennett,professionalcritic,drama,162,22,0.7,True
55,silentechoes,watching'silentechoes'feltlikestaringintothesouloftheuniverseasitbeggedforredemption.,4.0,2024-01-14,mayahughes,overlydramatic,action,101,17,0.4,False
56,silentechoes,"'silentechoes'transcendsthepedestrianconstraintsofmainstreamcinema,offeringinsteadameditationonthefragilityofhumanconsciousness.",10.0,2024-10-31,pauladelaney,pretentiousfilmcritic,thriller,146,19,1.0,True
57,silentechoes,"'silentechoes'transcendsthepedestrianconstraintsofmainstreamcinema,offeringinsteadameditationonthefragilityofhumanconsciousness.",3.0,2024-06-11,victorsawyer,pretentiousfilmcritic,drama,146,19,0.3,False
58,cyberalley,"'cyberalley'transcendsthepedestrianconstraintsofmainstreamcinema,offeringinsteadameditationonthefragilityofhumanconsciousness.",5.0,2024-08-09,oscarkensington,pretentiousfilmcritic,drama,144,19,0.5,False
59,crimsonpulse,watching'crimsonpulse'feltlikestaringintothesouloftheuniverseasitbeggedforredemption.,9.0,2022-01-31,liambennett,overlydramatic,fantasy,101,17,0.9,True
60,lostfrequencies,"'lostfrequencies'isthecinematicequivalentofeatingcoldfries—stillenjoyable,butyouknowitcould'vebeenbetter.",9.0,2022-09-02,victorfrost,comedy/snarky,fantasy,122,18,0.9,True
61,emeraldsky,watching'emeraldsky'feltlikestaringintothesouloftheuniverseasitbeggedforredemption.,6.0,2022-03-26,rachelbennett,overlydramatic,comedy,99,17,0.6,False
62,thelasthorizon,"'thelasthorizon'isthecinematicequivalentofeatingcoldfries—stillenjoyable,butyouknowitcould'vebeenbetter.",2.0,2024-07-29,felixholloway,comedy/snarky,sci-fi,122,19,0.2,False
63,silentechoes,"'silentechoes'transcendsthepedestrianconstraintsofmainstreamcinema,offeringinsteadameditationonthefragilityofhumanconsciousness.",10.0,2024-02-03,ninafrost,pretentiousfilmcritic,comedy,146,19,1.0,True
64,cyberalley,"okaysooo'cyberalley'waskindaawesome??like,notevenkidding,ididn’tcheckmyphoneonce.",6.0,2022-02-05,felixgrey,teenreviewer,romance,97,17,0.6,False
65,neonnights,"'neonnights'isthecinematicequivalentofeatingcoldfries—stillenjoyable,butyouknowitcould'vebeenbetter.",6.0,2023-11-01,paulaturner,comedy/snarky,action,117,18,0.6,False
66,cyberalley,"ijustwatched'cyberalley'andhonestly,itwasprettygood!notperfect,butdefinitelyworthawatch.",9.0,2023-10-31,oscarhughes,casualviewer,drama,105,18,0.9,True
67,lostfrequencies,watching'lostfrequencies'feltlikestaringintothesouloftheuniverseasitbeggedforredemption.,9.0,2023-06-14,tarakensington,overlydramatic,action,104,17,0.9,True
68,galacticrun,"'galacticrun'isthecinematicequivalentofeatingcoldfries—stillenjoyable,butyouknowitcould'vebeenbetter.",7.0,2023-08-14,victorsawyer,comedy/snarky,fantasy,118,18,0.7,True
69,galacticrun,"okaysooo'galacticrun'waskindaawesome??like,notevenkidding,ididn’tcheckmyphoneonce.",5.0,2024-02-11,samharper,teenreviewer,fantasy,98,17,0.5,False
70,cyberalley,"ijustwatched'cyberalley'andhonestly,itwasprettygood!notperfect,butdefinitelyworthawatch.",9.0,2021-10-12,logansantos,casualviewer,romance,105,18,0.9,True
71,lostfrequencies,"'lostfrequencies'transcendsthepedestrianconstraintsofmainstreamcinema,offeringinsteadameditationonthefragilityofhumanconsciousness.",2.0,2022-10-13,samhughes,pretentiousfilmcritic,romance,149,19,0.2,False
72,cyberalley,"'cyberalley'transcendsthepedestrianconstraintsofmainstreamcinema,offeringinsteadameditationonthefragilityofhumanconsciousness.",4.0,2023-01-06,marinafrost,pretentiousfilmcritic,thriller,144,19,0.4,False
73,neonnights,'neonnights'deliversapolishedandthoughtfullyconstructednarrative.itsthematicdepthissupportedbyconfidentdirectionandacompellingemotionalcore.,3.0,2022-11-06,felixkensington,professionalcritic,drama,161,22,0.3,False
74,neonnights,'neonnights'deliversapolishedandthoughtfullyconstructednarrative.itsthematicdepthissupportedbyconfidentdirectionandacompellingemotionalcore.,1.0,2022-06-18,taracarson,professionalcritic,fantasy,161,22,0.1,False
75,cyberalley,watching'cyberalley'feltlikestaringintothesouloftheuniverseasitbeggedforredemption.,10.0,2023-11-22,ninacarson,overlydramatic,thriller,99,17,1.0,True
76,cyberalley,"okaysooo'cyberalley'waskindaawesome??like,notevenkidding,ididn’tcheckmyphoneonce.",7.0,2023-04-04,mayagibson,teenreviewer,comedy,97,17,0.7,True
77,neonnights,"'neonnights'transcendsthepedestrianconstraintsofmainstreamcinema,offeringinsteadameditationonthefragilityofhumanconsciousness.",2.0,2023-01-14,felixbennett,pretentiousfilmcritic,thriller,144,19,0.2,False
78,brokenmemories,watching'brokenmemories'feltlikestaringintothesouloftheuniverseasitbeggedforredemption.,7.0,2022-09-11,paulasawyer,overlydramatic,romance,103,17,0.7,True
79,brokenmemories,"okaysooo'brokenmemories'waskindaawesome??like,notevenkidding,ididn’tcheckmyphoneonce.",9.0,2023-05-31,ninagrey,teenreviewer,drama,101,17,0.9,True
80,emeraldsky,"ijustwatched'emeraldsky'andhonestly,itwasprettygood!notperfect,butdefinitelyworthawatch.",8.0,2024-04-05,loganturner,casualviewer,drama,105,18,0.8,True
81,galacticrun,"'galacticrun'transcendsthepedestrianconstraintsofmainstreamcinema,offeringinsteadameditationonthefragilityofhumanconsciousness.",1.0,2023-12-07,alexdelaney,pretentiousfilmcritic,romance,145,19,0.1,False
82,galacticrun,'galacticrun'deliversapolishedandthoughtfullyconstructednarrative.itsthematicdepthissupportedbyconfidentdirectionandacompellingemotionalcore.,9.0,2024-11-22,irenedelaney,professionalcritic,comedy,162,22,0.9,True
83,neonnights,watching'neonnights'feltlikestaringintothesouloftheuniverseasitbeggedforredemption.,2.0,2024-01-10,wendyreeves,overlydramatic,romance,99,17,0.2,False
84,cyberalley,"'cyberalley'isthecinematicequivalentofeatingcoldfries—stillenjoyable,butyouknowitcould'vebeenbetter.",10.0,2024-04-21,ethanlowell,comedy/snarky,action,117,18,1.0,True
85,galacticrun,"ijustwatched'galacticrun'andhonestly,itwasprettygood!notperfect,butdefinitelyworthawatch.",8.0,2021-07-16,ninareeves,casualviewer,fantasy,106,18,0.8,True
86,neonnights,'neonnights'deliversapolishedandthoughtfullyconstructednarrative.itsthematicdepthissupportedbyconfidentdirectionandacompellingemotionalcore.,4.0,2024-11-04,paulabennett,professionalcritic,drama,161,22,0.4,False
87,galacticrun,'galacticrun'deliversapolishedandthoughtfullyconstructednarrative.itsthematicdepthissupportedbyconfidentdirectionandacompellingemotionalcore.,6.0,2022-02-07,mayasawyer,professionalcritic,sci-fi,162,22,0.6,False
88,cyberalley,"'cyberalley'transcendsthepedestrianconstraintsofmainstreamcinema,offeringinsteadameditationonthefragilityofhumanconsciousness.",8.0,2023-10-08,liamgibson,pretentiousfilmcritic,thriller,144,19,0.8,True
89,galacticrun,"okaysooo'galacticrun'waskindaawesome??like,notevenkidding,ididn’tcheckmyphoneonce.",4.0,2024-08-06,rachelholloway,teenreviewer,sci-fi,98,17,0.4,False
90,silentechoes,"okaysooo'silentechoes'waskindaawesome??like,notevenkidding,ididn’tcheckmyphoneonce.",7.0,2023-03-11,jordanholloway,teenreviewer,drama,99,17,0.7,True
91,neonnights,"'neonnights'isthecinematicequivalentofeatingcoldfries—stillenjoyable,butyouknowitcould'vebeenbetter.",1.0,2022-07-14,wendyalbright,comedy/snarky,sci-fi,117,18,0.1,False
92,emeraldsky,"okaysooo'emeraldsky'waskindaawesome??like,notevenkidding,ididn’tcheckmyphoneonce.",5.0,2021-08-16,jordanlowell,teenreviewer,drama,97,17,0.5,False
93,silentechoes,"'silentechoes'transcendsthepedestrianconstraintsofmainstreamcinema,offeringinsteadameditationonthefragilityofhumanconsciousness.",2.0,2022-03-31,ethancastillo,pretentiousfilmcritic,thriller,146,19,0.2,False
94,silentechoes,"'silentechoes'isthecinematicequivalentofeatingcoldfries—stillenjoyable,butyouknowitcould'vebeenbetter.",2.0,2024-07-06,oscargibson,comedy/snarky,thriller,119,18,0.2,False
95,crimsonpulse,watching'crimsonpulse'feltlikestaringintothesouloftheuniverseasitbeggedforredemption.,4.0,2023-03-15,victoralbright,overlydramatic,romance,101,17,0.4,False
96,lostfrequencies,"okaysooo'lostfrequencies'waskindaawesome??like,notevenkidding,ididn’tcheckmyphoneonce.",1.0,2023-09-23,ninasawyer,teenreviewer,comedy,102,17,0.1,False
97,neonnights,'neonnights'deliversapolishedandthoughtfullyconstructednarrative.itsthematicdepthissupportedbyconfidentdirectionandacompellingemotionalcore.,7.0,2021-07-06,jordanstone,professionalcritic,fantasy,161,22,0.7,True
98,thelasthorizon,'thelasthorizon'deliversapolishedandthoughtfullyconstructednarrative.itsthematicdepthissupportedbyconfidentdirectionandacompellingemotionalcore.,5.0,2023-06-23,alexbennett,professionalcritic,comedy,166,23,0.5,False
99,thelasthorizon,"ijustwatched'thelasthorizon'andhonestly,itwasprettygood!notperfect,butdefinitelyworthawatch.",10.0,2022-07-25,oscarstone,casualviewer,comedy,110,19,1.0,True
100,neonnights,"'neonnights'transcendsthepedestrianconstraintsofmainstreamcinema,offeringinsteadameditationonthefragilityofhumanconsciousness.",10.0,2022-10-21,chloesawyer,pretentiousfilmcritic,comedy,144,19,1.0,True
101,brokenmemories,"'brokenmemories'isthecinematicequivalentofeatingcoldfries—stillenjoyable,butyouknowitcould'vebeenbetter.",9.0,2024-12-07,wendysantos,comedy/snarky,sci-fi,121,18,0.9,True
102,crimsonpulse,watching'crimsonpulse'feltlikestaringintothesouloftheuniverseasitbeggedforredemption.,2.0,2024-10-05,samkensington,overlydramatic,thriller,101,17,0.2,False
103,emeraldsky,"ijustwatched'emeraldsky'andhonestly,itwasprettygood!notperfect,butdefinitelyworthawatch.",1.0,2023-04-22,felixsawyer,casualviewer,drama,105,18,0.1,False
104,shadowsoftime,watching'shadowsoftime'feltlikestaringintothesouloftheuniverseasitbeggedforredemption.,1.0,2022-10-01,victorcarson,overlydramatic,comedy,103,18,0.1,False
105,neonnights,"'neonnights'transcendsthepedestrianconstraintsofmainstreamcinema,offeringinsteadameditationonthefragilityofhumanconsciousness.",3.0,2023-10-30,alexreeves,pretentiousfilmcritic,fantasy,144,19,0.3,False
106,lostfrequencies,"'lostfrequencies'isthecinematicequivalentofeatingcoldfries—stillenjoyable,butyouknowitcould'vebeenbetter.",5.0,2025-01-10,samharper,comedy/snarky,sci-fi,122,18,0.5,False
107,galacticrun,"ijustwatched'galacticrun'andhonestly,itwasprettygood!notperfect,butdefinitelyworthawatch.",2.0,2022-10-04,alexbrooks,casualviewer,romance,106,18,0.2,False
108,cyberalley,watching'cyberalley'feltlikestaringintothesouloftheuniverseasitbeggedforredemption.,9.0,2022-11-19,oscarcarson,overlydramatic,comedy,99,17,0.9,True
109,cyberalley,watching'cyberalley'feltlikestaringintothesouloftheuniverseasitbeggedforredemption.,9.0,2023-01-24,kevinholloway,overlydramatic,action,99,17,0.9,True
110,neonnights,"okaysooo'neonnights'waskindaawesome??like,notevenkidding,ididn’tcheckmyphoneonce.",2.0,2022-12-11,ninaalbright,teenreviewer,comedy,97,17,0.2,False
111,brokenmemories,"ijustwatched'brokenmemories'andhonestly,itwasprettygood!notperfect,butdefinitelyworthawatch.",1.0,2023-03-26,felixkensington,casualviewer,drama,109,18,0.1,False
112,thelasthorizon,'thelasthorizon'deliversapolishedandthoughtfullyconstructednarrative.itsthematicdepthissupportedbyconfidentdirectionandacompellingemotionalcore.,1.0,2023-03-19,felixbrooks,professionalcritic,action,166,23,0.1,False
113,lostfrequencies,"okaysooo'lostfrequencies'waskindaawesome??like,notevenkidding,ididn’tcheckmyphoneonce.",3.0,2025-02-08,wendyturner,teenreviewer,fantasy,102,17,0.3,False
114,emeraldsky,"'emeraldsky'transcendsthepedestrianconstraintsofmainstreamcinema,offeringinsteadameditationonthefragilityofhumanconsciousness.",8.0,2023-01-03,sofiacastillo,pretentiousfilmcritic,thriller,144,19,0.8,True
115,silentechoes,watching'silentechoes'feltlikestaringintothesouloftheuniverseasitbeggedforredemption.,2.0,2023-08-23,ireneturner,overlydramatic,action,101,17,0.2,False
116,thelasthorizon,watching'thelasthorizon'feltlikestaringintothesouloftheuniverseasitbeggedforredemption.,7.0,2021-04-20,liamfrost,overlydramatic,sci-fi,104,18,0.7,True
117,crimsonpulse,"okaysooo'crimsonpulse'waskindaawesome??like,notevenkidding,ididn’tcheckmyphoneonce.",5.0,2025-01-05,rachelstone,teenreviewer,drama,99,17,0.5,False
118,emeraldsky,"okaysooo'emeraldsky'waskindaawesome??like,notevenkidding,ididn’tcheckmyphoneonce.",8.0,2024-12-11,loganholloway,teenreviewer,drama,97,17,0.8,True
119,silentechoes,"okaysooo'silentechoes'waskindaawesome??like,notevenkidding,ididn’tcheckmyphoneonce.",9.0,2024-09-04,liamharper,teenreviewer,action,99,17,0.9,True
120,crimsonpulse,"'crimsonpulse'transcendsthepedestrianconstraintsofmainstreamcinema,offeringinsteadameditationonthefragilityofhumanconsciousness.",6.0,2021-05-16,marinasawyer,pretentiousfilmcritic,drama,146,19,0.6,False
121,lostfrequencies,"okaysooo'lostfrequencies'waskindaawesome??like,notevenkidding,ididn’tcheckmyphoneonce.",6.0,2024-08-17,ethanreeves,teenreviewer,sci-fi,102,17,0.6,False
122,crimsonpulse,"ijustwatched'crimsonpulse'andhonestly,itwasprettygood!notperfect,butdefinitelyworthawatch.",7.0,2021-04-19,felixcarson,casualviewer,fantasy,107,18,0.7,True
123,shadowsoftime,"okaysooo'shadowsoftime'waskindaawesome??like,notevenkidding,ididn’tcheckmyphoneonce.",7.0,2022-02-22,ninacastillo,teenreviewer,drama,101,18,0.7,True
124,crimsonpulse,"'crimsonpulse'transcendsthepedestrianconstraintsofmainstreamcinema,offeringinsteadameditationonthefragilityofhumanconsciousness.",7.0,2024-11-28,oscarhughes,pretentiousfilmcritic,comedy,146,19,0.7,True
125,lostfrequencies,watching'lostfrequencies'feltlikestaringintothesouloftheuniverseasitbeggedforredemption.,7.0,2021-11-19,tarabennett,overlydramatic,fantasy,104,17,0.7,True
126,shadowsoftime,"'shadowsoftime'transcendsthepedestrianconstraintsofmainstreamcinema,offeringinsteadameditationonthefragilityofhumanconsciousness.",1.0,2022-05-04,mayarivers,pretentiousfilmcritic,thriller,148,20,0.1,False
127,emeraldsky,"'emeraldsky'isthecinematicequivalentofeatingcoldfries—stillenjoyable,butyouknowitcould'vebeenbetter.",4.0,2023-07-28,kevinhughes,comedy/snarky,thriller,117,18,0.4,False
128,silentechoes,"'silentechoes'transcendsthepedestrianconstraintsofmainstreamcinema,offeringinsteadameditationonthefragilityofhumanconsciousness.",10.0,2021-07-25,alexbennett,pretentiousfilmcritic,fantasy,146,19,1.0,True
129,neonnights,'neonnights'deliversapolishedandthoughtfullyconstructednarrative.itsthematicdepthissupportedbyconfidentdirectionandacompellingemotionalcore.,2.0,2022-03-10,felixgibson,professionalcritic,fantasy,161,22,0.2,False
130,neonnights,'neonnights'deliversapolishedandthoughtfullyconstructednarrative.itsthematicdepthissupportedbyconfidentdirectionandacompellingemotionalcore.,6.0,2024-07-12,samreeves,professionalcritic,sci-fi,161,22,0.6,False
131,neonnights,"'neonnights'transcendsthepedestrianconstraintsofmainstreamcinema,offeringinsteadameditationonthefragilityofhumanconsciousness.",4.0,2023-03-25,felixreeves,pretentiousfilmcritic,sci-fi,144,19,0.4,False
132,brokenmemories,"'brokenmemories'transcendsthepedestrianconstraintsofmainstreamcinema,offeringinsteadameditationonthefragilityofhumanconsciousness.",7.0,2024-01-16,chloebrooks,pretentiousfilmcritic,thriller,148,19,0.7,True
133,shadowsoftime,"okaysooo'shadowsoftime'waskindaawesome??like,notevenkidding,ididn’tcheckmyphoneonce.",7.0,2024-06-28,kevinreeves,teenreviewer,thriller,101,18,0.7,True
134,lostfrequencies,'lostfrequencies'deliversapolishedandthoughtfullyconstructednarrative.itsthematicdepthissupportedbyconfidentdirectionandacompellingemotionalcore.,9.0,2024-01-04,liamdelaney,professionalcritic,comedy,166,22,0.9,True
135,thelasthorizon,"'thelasthorizon'transcendsthepedestrianconstraintsofmainstreamcinema,offeringinsteadameditationonthefragilityofhumanconsciousness.",7.0,2023-12-07,alexreeves,pretentiousfilmcritic,sci-fi,149,20,0.7,True
136,silentechoes,"'silentechoes'transcendsthepedestrianconstraintsofmainstreamcinema,offeringinsteadameditationonthefragilityofhumanconsciousness.",2.0,2021-12-20,mayasawyer,pretentiousfilmcritic,thriller,146,19,0.2,False
137,shadowsoftime,"'shadowsoftime'isthecinematicequivalentofeatingcoldfries—stillenjoyable,butyouknowitcould'vebeenbetter.",4.0,2024-12-24,oscaralbright,comedy/snarky,sci-fi,121,19,0.4,False
138,neonnights,"ijustwatched'neonnights'andhonestly,itwasprettygood!notperfect,butdefinitelyworthawatch.",6.0,2023-12-21,jordanreeves,casualviewer,romance,105,18,0.6,False
139,lostfrequencies,"okaysooo'lostfrequencies'waskindaawesome??like,notevenkidding,ididn’tcheckmyphoneonce.",2.0,2024-07-10,taradelaney,teenreviewer,thriller,102,17,0.2,False
